zoro_title,zoro_brand,zoro_price,zoro_sku,zoro_url,search_query,captcha_hit,cheapest_amazon_price,price_delta_vs_zoro,amazon_1_title,amazon_1_price,amazon_1_rating,amazon_1_reviews,amazon_1_asin,amazon_1_url,amazon_2_title,amazon_2_price,amazon_2_rating,amazon_2_reviews,amazon_2_asin,amazon_2_url,amazon_3_title,amazon_3_price,amazon_3_rating,amazon_3_reviews,amazon_3_asin,amazon_3_url
"Recessed Electric Wall-Mount Heater, Recessed or Surface, 4000/3000 W, 208/240V AC, White",Qmark,545.00,G8523051,https://www.zoro.com/qmark-recessed-electric-wall-mount-heater-recessed-or-surface-40003000-w-208240v-ac-white-cwh3404f/i/G8523051/,"Qmark Recessed Electric Wall-Mount Heater, Recessed or",False,61118.72,60573.72,QMARK,,,,B00OTU9Y72,https://www.amazon.com/dp/B00OTU9Y72,Qmark,151414.62,,,B00PUNDFCM,https://www.amazon.com/dp/B00PUNDFCM,"198 High Capacity Wall Heater, 4000/2000W 240VAC, For 265-400 Sq. Ft Rooms | Supports Recessed & Surface Mount, Adjustable Front Thermostat For Living Rooms, Offices and Small Shops",61118.72,,,B0GSVGW6R2,https://www.amazon.com/dp/B0GSVGW6R2
"Damper, Backdraft",Dayton,73.59,G1225524,https://www.zoro.com/dayton-damper-backdraft-4hx77/i/G1225524/,"Dayton Damper, Backdraft",False,,,Dayton,,,,B000LDF43E,https://www.amazon.com/dp/B000LDF43E,Dayton,,,,B07CJKJ5W5,https://www.amazon.com/dp/B07CJKJ5W5,Dayton,,,,B07HLX149H,https://www.amazon.com/dp/B07HLX149H
"Attached Lid Container, 5.23 gal Volume Cap., 19 3/4 in L, 11 3/4 in W, 7 1/4 in H, Translucent",Orbis,29.99,G2718983,https://www.zoro.com/orbis-attached-lid-container-523-gal-volume-cap-19-34-in-l-11-34-in-w-7-14-in-h-translucent-fp075-clear/i/G2718983/,"Orbis Attached Lid Container, 5.23 gal Volume",False,,,Orbis,,,,B01FC2H3LE,https://www.amazon.com/dp/B01FC2H3LE,,,,,,,,,,,,
"Plug-In, General Purpose Relay, Octal, 10 A, 8 Pins, Plug-in",Omron,21.49,G0716782,https://www.zoro.com/omron-plug-in-general-purpose-relay-octal-10-a-8-pins-plug-in-mks2pindc24/i/G0716782/,"Omron Plug-In, General Purpose Relay, Octal, 10",False,3886.77,3865.28,Omron,4720.25,,,B005T67RY2,https://www.amazon.com/dp/B005T67RY2,Omron,3886.77,,,B005T6725Q,https://www.amazon.com/dp/B005T6725Q,Omron,9579.41,,,B071SG7MKN,https://www.amazon.com/dp/B071SG7MKN
"CC Class, Fast-Acting, 15A, 600V AC, Non-Indicating",Littelfuse,20.13,G6875887,https://www.zoro.com/littelfuse-cc-class-fast-acting-15a-600v-ac-non-indicating-klkr015/i/G6875887/,"Littelfuse CC Class, Fast-Acting, 15A, 600V AC,",False,14999.77,14979.64,Littelfuse,,,,B00A1BMVIW,https://www.amazon.com/dp/B00A1BMVIW,Littelfuse,14999.77,,,B00JV3LYFC,https://www.amazon.com/dp/B00JV3LYFC,"10-Pack New CCMR-15 CCMR 15A CCMR015 CCMR-15A 600Vac Time Delay Fuse,CCMR-15A Current Limiting Class CC Rejection Cartridge Fuses",15322.05,,,B0FKFNKPNL,https://www.amazon.com/dp/B0FKFNKPNL
"SDS-PLUS 2CT 3/16"" X 4"" X 6""",Milwaukee Tool,8.47,G4925961,https://www.zoro.com/milwaukee-tool-sds-plus-2ct-316-x-4-x-6-48-20-7411/i/G4925961/,"Milwaukee Tool SDS-PLUS 2CT 3/16"" X 4"" X",False,2192.04,2183.57,Milwaukee,4445.20,,,B002HM0Z4K,https://www.amazon.com/dp/B002HM0Z4K,Milwaukee,2775.47,,,B002HM2WMI,https://www.amazon.com/dp/B002HM2WMI,Bosch,2192.04,,,B0CVN3MCKZ,https://www.amazon.com/dp/B0CVN3MCKZ
"Exh/Sp Fan, 18In Bl, Alum, 115/230V",Dayton,439.99,G4184092,https://www.zoro.com/dayton-exhsp-fan-18in-bl-alum-115230v-10e024/i/G4184092/,Dayton 115/230V,False,,,Dayton,,,,B07J298J6V,https://www.amazon.com/dp/B07J298J6V,"Dayton HVAC Split-Phase Belt Drive Motor, 1/4 HP, 115 V",,,,B00A4N71UK,https://www.amazon.com/dp/B00A4N71UK,Dayton,,,,B007AS9PWY,https://www.amazon.com/dp/B007AS9PWY
"Midget Fuse, Time-Delay, 3.20A, 250V AC, Non-Indicating, 100kA at 250V AC, 10kkA at 125V AC",Eaton Bussmann,8.24,G0494417,https://www.zoro.com/eaton-bussmann-midget-fuse-time-delay-320a-250v-ac-non-indicating-100ka-at-250v-ac-10kka-at-125v-ac-fnm-3-210/i/G0494417/,"Eaton Bussmann Midget Fuse, Time-Delay, 3.20A, 250V AC,",False,2253.16,2244.92,"Eaton Bussmann Midget Fuse, Time-Delay, 30A, 250V AC, Non-Indicating, 10kA at 250V AC FNM-30-1 Each",2253.16,,,B002KNAENS,https://www.amazon.com/dp/B002KNAENS,"10-Pack New FNM-15 FNM-15A FNM 15A 250Vac Time Delay Fuse,FNM-15A Current Limiting Class CC Rejection Cartridge Fuses",13766.23,,,B0FQV3GMQC,https://www.amazon.com/dp/B0FQV3GMQC,10-Pack New FNQ-R-1 FNQ-R-1A FNQ-R 1A 600Vac Time Delay Fuse，FNQ-R-1A Class CC Current Limiting Fuse,14210.75,,,B0G1YBV4T4,https://www.amazon.com/dp/B0G1YBV4T4
"Putty Knife, Straight, Carbon Steel, 2""W",Hyde,6.69,G1001795,https://www.zoro.com/hyde-putty-knife-straight-carbon-steel-2w-02300/i/G1001795/,"Hyde Putty Knife, Straight, Carbon Steel, 2""W",False,3881.22,3874.53,Hyde,,,,B006WYPC9W,https://www.amazon.com/dp/B006WYPC9W,Hyde,3881.22,,,B006WYPCBA,https://www.amazon.com/dp/B006WYPCBA,Hyde,,,,B006WYPBNY,https://www.amazon.com/dp/B006WYPBNY
"Eyewear Lanyard, Black, 12 in Length, Nylon, Slip-On Attachment",Ergodyne,3.59,G3680717,https://www.zoro.com/ergodyne-eyewear-lanyard-black-12-in-length-nylon-slip-on-attachment-3251/i/G3680717/,"Ergodyne Eyewear Lanyard, Black, 12 in Length,",False,997.39,993.8,Ergodyne,4153.48,,,B000H89YJ8,https://www.amazon.com/dp/B000H89YJ8,Ergodyne,997.39,,,B00419OLDI,https://www.amazon.com/dp/B00419OLDI,Ergodyne,3039.41,,,B00419UISU,https://www.amazon.com/dp/B00419UISU
